,brand,base_name,os_details,gpu_brand,cpu_brand,cpu_type_name,gpu_type,screen_surface,screen_size,pixels_x,touchscreen,discrete_gpu,gpu,ram,ssd,detachable_keyboard,weight,cpu_benchmark,gpu_benchmark,cpu_GHZ,cpu_core,threading,pc_name,min_price,max_price
0,LENOVO,LENOVO FLEX 3 80JM002CUS,WINDOWS 10,INTEL,INTEL,CORE I7,HD,GLOSSY,15.6,1920,1,0,INTEL HD,8,0,0.0,4.6,2715.0,10.0,2.4,DUAL-CORE,1.0,LENOVO FLEX,899.0,899.0
1,RAZER,RAZER BLADE 15,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE RTX 2070 MAX-Q,MATTE,15.6,1920,0,1,NVIDIA GEFORCE RTX 2070 MAX-Q,16,512,0.0,4.63,10418.0,11018.0,2.2,HEXA-CORE,1.0,RAZER BLADE,2099.99,2099.99
2,HP,HP,WINDOWS 10,AMD,AMD,A6,RADEON R4,Unknown,15.6,1366,0,0,AMD RADEON R4,8,0,0.0,4.63,1032.0,346.0,2.5,DUAL-CORE,0.0,HP,439.0,449.0
3,ACER,ACER ASPIRE E5-576,WINDOWS 10 HOME,INTEL,INTEL,CORE I3,UHD 620,MATTE,15.6,1920,0,0,INTEL UHD 620,6,0,0.0,5.3,3676.0,888.0,2.2,DUAL-CORE,1.0,ACER ASPIRE,375.0,449.0
4,HP,HP 17,WINDOWS 10,INTEL,INTEL,CORE I5,HD 620,GLOSSY,17.3,1600,0,0,INTEL HD 620,8,0,0.0,5.8,3522.0,888.0,2.5,DUAL-CORE,1.0,HP,559.0,559.0
5,HP,HP CHROMEBOOK,CHROME OS,INTEL,INTEL,CELERON,HD 400,GLOSSY,11.6,1366,1,0,INTEL HD 400,4,16,0.0,2.6,759.0,329.0,1.6,DUAL-CORE,0.0,HP CHROMEBOOK,172.0,172.0
6,HP,HP,WINDOWS 10 HOME,INTEL,INTEL,CORE I5,UHD 620,GLOSSY,15.6,1366,1,0,INTEL UHD 620,8,0,0.0,4.52,6372.0,888.0,1.6,QUAD-CORE,1.0,HP,619.99,628.5
7,ASUS,ASUS ROG STRIX GL703GS SCAR EDITION,WINDOWS 10 HOME,NVIDIA,INTEL,CORE I7,GEFORCE GTX 1070,MATTE,17.3,1920,0,1,NVIDIA GEFORCE GTX 1070,16,256,0.0,6.5,10418.0,13557.0,2.2,HEXA-CORE,1.0,ASUS ROG STRIX,1646.99,1646.99
8,DELL,DELL CHROMEBOOK 11,CHROME OS,INTEL,INTEL,CELERON,HD,GLOSSY,11.6,1366,0,0,INTEL HD,4,16,0.0,2.9,849.0,10.0,1.4,DUAL-CORE,0.0,DELL CHROMEBOOK,69.0,78.9
9,DELL,DELL INSPIRON 3567,WINDOWS 10 HOME,INTEL,INTEL,CORE I3,HD 620,GLOSSY,15.6,1366,0,0,INTEL HD 620,8,0,0.0,5.07,2806.0,888.0,2.4,DUAL-CORE,1.0,DELL INSPIRON,379.0,389.0
